CO(GT),PT08.S5(O3),NO2(GT),PT08.S4(NO2),C6H6(GT)
4.1,1372.0,146.0,1952.0,20.2
4.5,1471.0,144.0,1997.0,21.7
3.9,1439.0,138.0,1942.0,19.8
4.0,1429.0,143.0,1854.0,16.7
2.2,1081.0,116.0,1604.0,9.1
2.1,993.0,109.0,1547.0,8.3
1.7,837.0,92.0,1447.0,5.8
1.6,761.0,83.0,1429.0,5.2
1.3,650.0,81.0,1382.0,4.1
1.3,591.0,-200.0,1359.0,3.4
-200.0,505.0,55.0,1332.0,2.9
0.8,518.0,53.0,1351.0,3.1
0.8,571.0,67.0,1342.0,2.5
1.1,842.0,91.0,1461.0,4.3
2.1,1145.0,113.0,1623.0,8.9
2.4,1218.0,102.0,1689.0,10.5
2.6,1341.0,107.0,1764.0,12.5
2.8,1406.0,113.0,1768.0,12.3
2.6,1422.0,108.0,1757.0,11.7
2.6,1373.0,105.0,1735.0,11.7
2.1,1153.0,93.0,1636.0,9.3
1.7,927.0,87.0,1573.0,7.6
1.6,766.0,76.0,1539.0,6.7
2.1,941.0,94.0,1649.0,9.7
2.3,1146.0,110.0,1774.0,12.4
3.5,1417.0,136.0,1919.0,16.6
3.9,1442.0,139.0,1885.0,16.4
3.3,1323.0,125.0,1820.0,13.7
2.3,1125.0,111.0,1712.0,9.9
2.1,1036.0,97.0,1672.0,8.9
2.8,1202.0,107.0,1714.0,10.6
2.1,1054.0,90.0,1577.0,7.4
1.6,903.0,84.0,1526.0,6.2
1.6,885.0,-200.0,1554.0,6.5
-200.0,818.0,87.0,1539.0,5.8
1.1,700.0,66.0,1461.0,4.0
0.7,580.0,36.0,1390.0,2.1
0.8,815.0,62.0,1492.0,3.6
1.2,1035.0,91.0,1528.0,4.4
1.4,1067.0,89.0,1560.0,5.4
1.7,1114.0,93.0,1633.0,7.1
1.8,1000.0,81.0,1646.0,7.3
1.8,906.0,82.0,1617.0,7.6
1.9,822.0,80.0,1568.0,6.8
1.3,610.0,48.0,1507.0,4.6
1.6,657.0,61.0,1669.0,8.4
1.9,647.0,89.0,1506.0,6.9
2.3,762.0,105.0,1607.0,9.0
3.8,1122.0,116.0,1874.0,15.1
3.5,1130.0,119.0,1744.0,12.6
4.3,1637.0,144.0,1840.0,15.1
2.8,1272.0,123.0,1673.0,9.9
1.9,1098.0,105.0,1594.0,8.0
1.9,1066.0,93.0,1624.0,7.9
1.7,909.0,86.0,1582.0,6.1
1.5,818.0,76.0,1547.0,5.1
0.6,472.0,33.0,1355.0,1.7
0.4,394.0,-200.0,1274.0,0.7
-200.0,396.0,27.0,1304.0,0.8
0.3,378.0,23.0,1278.0,0.7
0.6,432.0,46.0,1373.0,2.0
1.2,699.0,76.0,1538.0,5.1
3.6,1252.0,116.0,1996.0,17.7
3.7,1237.0,115.0,1962.0,18.4
1.8,772.0,83.0,1484.0,6.9
1.6,766.0,87.0,1509.0,7.3
1.9,829.0,90.0,1577.0,9.6
2.0,783.0,87.0,1599.0,10.4
2.2,822.0,99.0,1607.0,11.2
2.1,813.0,99.0,1574.0,10.7
2.3,813.0,101.0,1544.0,11.6
2.6,850.0,103.0,1606.0,12.4
3.8,1276.0,129.0,1932.0,18.3
4.4,1401.0,143.0,1993.0,21.0
4.5,1356.0,146.0,1965.0,21.0
3.3,1243.0,124.0,1758.0,14.5
2.0,1083.0,113.0,1561.0,8.4
1.1,795.0,80.0,1370.0,4.3
0.9,735.0,72.0,1359.0,3.8
0.8,684.0,64.0,1309.0,2.7
0.7,714.0,70.0,1330.0,2.5
0.5,456.0,-200.0,1285.0,1.2
-200.0,401.0,31.0,1261.0,0.8
0.3,361.0,22.0,1212.0,0.6
0.5,418.0,47.0,1287.0,1.8
1.1,616.0,88.0,1429.0,4.6
3.0,1089.0,130.0,1829.0,14.2
3.8,1329.0,132.0,2095.0,21.0
3.4,1311.0,132.0,1857.0,16.2
3.0,1236.0,131.0,1794.0,15.5
2.7,1147.0,129.0,1746.0,13.4
3.5,1301.0,132.0,1847.0,16.9
2.8,1097.0,110.0,1639.0,12.4
1.9,900.0,99.0,1589.0,10.1
2.0,781.0,100.0,1570.0,8.7
3.0,1013.0,122.0,1719.0,13.8
1.9,790.0,97.0,1514.0,9.3
2.7,1059.0,112.0,1688.0,13.0
3.3,1205.0,128.0,1722.0,14.3
1.7,975.0,101.0,1487.0,7.6
1.3,896.0,96.0,1375.0,5.3
1.3,911.0,86.0,1425.0,5.4
1.2,902.0,85.0,1411.0,4.9
1.1,832.0,79.0,1405.0,4.6
0.9,715.0,61.0,1326.0,2.7
0.6,683.0,-200.0,1272.0,1.6
-200.0,721.0,66.0,1287.0,1.7
0.6,648.0,54.0,1255.0,1.2
0.8,612.0,57.0,1255.0,1.7
1.2,800.0,75.0,1403.0,4.8
3.1,1173.0,97.0,1706.0,13.8
4.4,1519.0,110.0,2080.0,23.7
3.4,1287.0,113.0,1770.0,14.2
1.7,966.0,88.0,1505.0,8.0
1.5,828.0,85.0,1440.0,6.7
1.7,825.0,96.0,1477.0,8.7
2.2,872.0,106.0,1566.0,10.8
-200.0,680.0,91.0,1494.0,6.7
2.7,1002.0,126.0,1730.0,11.4
2.8,1159.0,130.0,1783.0,13.4
2.7,979.0,111.0,1722.0,12.0
4.5,1311.0,134.0,2008.0,20.2
3.5,1071.0,136.0,1744.0,14.4
2.6,899.0,125.0,1571.0,9.4
1.7,766.0,108.0,1435.0,5.9
1.3,589.0,87.0,1354.0,4.5
1.3,631.0,89.0,1341.0,4.5
1.0,479.0,58.0,1249.0,2.5
0.7,479.0,54.0,1253.0,1.8
0.7,417.0,-200.0,1224.0,1.4
0.5,378.0,28.0,1212.0,0.9
0.5,344.0,20.0,1158.0,0.6
0.6,413.0,51.0,1268.0,1.4
1.1,605.0,82.0,1383.0,3.8
2.7,991.0,112.0,1721.0,11.6
3.5,1175.0,119.0,1937.0,17.8
2.3,923.0,99.0,1552.0,8.8
1.6,829.0,98.0,1468.0,6.8
1.3,733.0,88.0,1442.0,5.9
2.0,819.0,96.0,1570.0,8.9
1.9,723.0,81.0,1492.0,8.2
1.9,786.0,92.0,1501.0,8.6
2.2,850.0,105.0,1545.0,10.1
2.0,820.0,88.0,1527.0,9.4
2.9,991.0,103.0,1748.0,14.6
5.2,1454.0,141.0,2060.0,24.6
4.6,1488.0,133.0,1982.0,21.6
2.5,1205.0,119.0,1539.0,10.3
1.5,909.0,106.0,1376.0,5.7
1.2,769.0,92.0,1324.0,4.5
1.7,835.0,97.0,1373.0,5.5
1.4,793.0,91.0,1357.0,4.8
1.2,733.0,83.0,1313.0,3.6
0.6,502.0,-200.0,1219.0,1.7
0.7,562.0,59.0,1263.0,2.2
0.8,832.0,73.0,1312.0,3.0
0.9,924.0,78.0,1363.0,4.0
1.6,974.0,90.0,1438.0,6.7
3.4,1307.0,110.0,1828.0,16.7
3.8,1481.0,114.0,1928.0,19.3
3.1,1405.0,119.0,1747.0,14.8
2.7,1195.0,121.0,1664.0,13.4
2.0,868.0,97.0,1503.0,11.0
2.3,874.0,99.0,1535.0,12.5
1.9,738.0,85.0,1391.0,8.4
1.3,550.0,75.0,1279.0,5.3
1.9,777.0,87.0,1454.0,8.8
2.3,966.0,102.0,1588.0,11.2
2.4,990.0,105.0,1580.0,11.6
2.7,944.0,98.0,1540.0,12.4
2.6,962.0,93.0,1490.0,10.6
1.5,778.0,91.0,1308.0,6.0
1.2,690.0,85.0,1252.0,4.6
1.1,644.0,74.0,1258.0,4.1
1.5,753.0,87.0,1307.0,5.2
1.0,646.0,79.0,1232.0,3.2
1.2,838.0,78.0,1312.0,4.5
1.1,851.0,-200.0,1292.0,3.8
-200.0,801.0,63.0,1296.0,3.8
0.8,665.0,48.0,1212.0,1.9
0.9,717.0,59.0,1250.0,2.4
1.1,795.0,65.0,1266.0,3.3
1.5,936.0,71.0,1418.0,6.7
1.8,1076.0,84.0,1530.0,8.5
2.1,1016.0,93.0,1520.0,9.7
2.1,834.0,99.0,1451.0,9.4
1.9,756.0,93.0,1449.0,9.0
2.1,766.0,96.0,1467.0,10.0
2.5,905.0,114.0,1596.0,12.6
1.9,765.0,101.0,1357.0,7.6
2.2,830.0,108.0,1538.0,11.8
2.3,853.0,117.0,1508.0,11.2
2.7,981.0,125.0,1586.0,12.4
3.0,1286.0,133.0,1621.0,12.9
2.8,1244.0,119.0,1633.0,12.2
2.2,1056.0,107.0,1475.0,8.8
1.6,1003.0,96.0,1421.0,6.8
2.1,1245.0,105.0,1483.0,8.6
2.3,1200.0,102.0,1464.0,8.9
2.3,1188.0,97.0,1451.0,8.3
1.7,1070.0,79.0,1395.0,6.3
2.2,1075.0,-200.0,1501.0,8.3
1.3,895.0,69.0,1396.0,5.1
0.8,755.0,52.0,1284.0,2.6
1.1,806.0,62.0,1342.0,3.6
1.4,836.0,69.0,1321.0,3.6
1.3,897.0,75.0,1382.0,4.7
1.9,1073.0,83.0,1486.0,7.5
2.3,1088.0,94.0,1501.0,9.0
2.3,1036.0,96.0,1514.0,9.5
1.8,768.0,86.0,1438.0,7.7
1.4,587.0,72.0,1287.0,5.7
1.0,452.0,53.0,1189.0,3.8
1.4,470.0,65.0,1260.0,4.8
1.3,502.0,70.0,1244.0,4.3
1.3,516.0,75.0,1238.0,4.1
1.4,555.0,86.0,1301.0,4.7
1.9,671.0,94.0,1357.0,6.2
1.8,788.0,103.0,1329.0,5.5
1.1,538.0,81.0,1246.0,3.3
1.1,544.0,80.0,1224.0,3.2
1.1,500.0,77.0,1204.0,2.9
0.9,417.0,58.0,1156.0,2.2
0.6,341.0,31.0,1071.0,1.3
0.5,352.0,38.0,1076.0,1.1
0.7,397.0,-200.0,1095.0,1.3
0.6,502.0,59.0,1153.0,1.2
0.7,648.0,70.0,1180.0,1.7
0.9,760.0,75.0,1232.0,2.9
2.9,1183.0,103.0,1687.0,14.3
4.1,1431.0,134.0,1806.0,19.7
1.5,705.0,98.0,1258.0,5.5
1.5,637.0,97.0,1254.0,5.6
1.5,658.0,98.0,1293.0,5.8
1.4,546.0,78.0,1272.0,5.5
1.6,561.0,83.0,1332.0,6.5
1.5,532.0,92.0,1268.0,5.5
1.4,535.0,81.0,1247.0,5.2
1.5,525.0,90.0,1289.0,5.8
1.9,603.0,95.0,1358.0,7.9
2.5,802.0,114.0,1477.0,10.2
2.1,796.0,106.0,1404.0,8.2
1.6,689.0,99.0,1302.0,5.7
1.2,553.0,90.0,1178.0,3.8
1.1,509.0,82.0,1137.0,4.0
1.0,455.0,74.0,1089.0,2.8
1.0,425.0,76.0,1050.0,2.6
0.7,436.0,66.0,1055.0,1.8
0.7,618.0,73.0,1130.0,1.7
0.8,747.0,-200.0,1104.0,1.4
-200.0,693.0,69.0,1101.0,1.3
0.7,691.0,71.0,1117.0,2.3
1.1,1013.0,98.0,1266.0,5.3
2.6,1311.0,115.0,1587.0,13.4
4.0,1675.0,130.0,1947.0,23.8
4.2,1689.0,150.0,1852.0,21.5
4.7,1688.0,159.0,1872.0,21.0
3.9,1548.0,146.0,1754.0,18.4
3.7,1490.0,138.0,1763.0,18.9
3.4,1354.0,128.0,1711.0,17.1
2.2,1014.0,97.0,1448.0,10.4
1.9,831.0,91.0,1372.0,8.0
1.6,699.0,81.0,1325.0,6.2
2.1,926.0,99.0,1527.0,9.7
2.2,928.0,101.0,1532.0,9.6
2.7,1038.0,106.0,1638.0,11.9
2.4,1035.0,102.0,1534.0,8.7
1.3,789.0,84.0,1360.0,4.7
1.2,692.0,81.0,1323.0,3.8
1.5,764.0,91.0,1360.0,4.7
1.3,639.0,82.0,1287.0,3.8
1.0,541.0,64.0,1240.0,2.7
0.9,678.0,70.0,1256.0,2.8
0.5,381.0,-200.0,1066.0,1.0
0.5,343.0,26.0,1064.0,0.8
0.6,436.0,58.0,1131.0,1.5
1.0,688.0,93.0,1279.0,3.5
3.1,1438.0,110.0,1926.0,15.6
4.1,1489.0,115.0,1957.0,19.9
2.2,1093.0,125.0,1576.0,8.6
1.7,965.0,118.0,1498.0,6.5
1.9,1004.0,109.0,1579.0,7.7
2.9,1166.0,123.0,1772.0,11.3
2.2,991.0,114.0,1638.0,9.1
2.6,1054.0,114.0,1748.0,11.2
3.1,1192.0,119.0,1799.0,13.5
2.3,1055.0,111.0,1637.0,10.1
2.4,1048.0,103.0,1681.0,11.3
2.8,1073.0,103.0,1712.0,11.8
2.7,1068.0,107.0,1669.0,11.5
2.3,1019.0,105.0,1588.0,9.3
1.5,833.0,91.0,1418.0,5.5
1.4,759.0,79.0,1409.0,5.1
1.2,749.0,79.0,1395.0,4.8
1.6,978.0,86.0,1477.0,6.3
1.2,944.0,70.0,1425.0,5.1
1.1,891.0,55.0,1405.0,4.1
0.9,849.0,-200.0,1422.0,4.0
0.7,790.0,49.0,1322.0,2.4
0.9,852.0,50.0,1340.0,2.9
1.7,987.0,67.0,1561.0,7.4
4.2,1435.0,94.0,1949.0,19.8
6.2,1798.0,119.0,2439.0,31.9
4.6,1677.0,139.0,2001.0,21.0
2.8,1282.0,113.0,1701.0,11.7
1.6,871.0,88.0,1489.0,6.8
1.7,759.0,73.0,1524.0,7.4
1.7,790.0,73.0,1542.0,8.6
1.7,-200.0,72.0,-200.0,-200.0
1.9,-200.0,81.0,-200.0,-200.0
2.3,-200.0,93.0,-200.0,-200.0
3.3,1187.0,106.0,1193.0,16.4
4.2,1399.0,132.0,2028.0,21.2
5.5,1644.0,164.0,2089.0,25.0
4.9,1599.0,161.0,1922.0,20.2
2.5,1223.0,124.0,1604.0,10.8
2.0,1200.0,113.0,1570.0,9.9
2.0,1118.0,103.0,1529.0,8.5
2.0,1067.0,104.0,1514.0,8.0
1.3,1048.0,93.0,1442.0,5.6
1.0,718.0,60.0,1350.0,3.2
0.9,797.0,-200.0,1381.0,3.3
-200.0,749.0,52.0,1342.0,2.8
0.7,737.0,66.0,1372.0,2.6
1.1,903.0,82.0,1448.0,4.3
2.6,1159.0,109.0,1833.0,13.0
3.9,1365.0,114.0,2060.0,20.3
5.0,1510.0,139.0,2054.0,20.7
3.3,1386.0,127.0,1898.0,15.9
2.9,1368.0,127.0,1821.0,14.2
3.1,1347.0,135.0,1825.0,15.9
3.0,1242.0,130.0,1773.0,16.1
2.7,1138.0,126.0,1761.0,14.7
2.7,1080.0,121.0,1703.0,14.0
2.6,1002.0,122.0,1632.0,13.6
3.7,1212.0,138.0,1799.0,19.7
4.5,1486.0,165.0,1915.0,23.3
4.7,1567.0,154.0,2052.0,24.1
5.5,1723.0,168.0,2083.0,25.4
3.0,1399.0,146.0,1685.0,14.1
1.9,1291.0,124.0,1582.0,10.1
2.3,1443.0,124.0,1684.0,12.1
1.6,1270.0,106.0,1566.0,9.0
1.3,1110.0,88.0,1488.0,6.3
1.2,1060.0,83.0,1455.0,5.3
0.9,965.0,-200.0,1410.0,3.8
0.8,891.0,74.0,1380.0,3.0
0.8,905.0,64.0,1387.0,3.3
0.9,899.0,69.0,1398.0,3.5
2.0,1136.0,91.0,1660.0,9.5
3.0,1391.0,96.0,1872.0,15.2
3.1,1460.0,106.0,1816.0,14.3
-200.0,1410.0,-200.0,1720.0,11.2
-200.0,1372.0,-200.0,1743.0,11.4
-200.0,1266.0,-200.0,1779.0,13.4
-200.0,1014.0,-200.0,1621.0,10.6
-200.0,870.0,-200.0,1573.0,10.8
-200.0,905.0,-200.0,1635.0,11.9
-200.0,991.0,-200.0,1704.0,13.5
-200.0,1076.0,-200.0,1722.0,15.2
-200.0,1249.0,-200.0,1798.0,17.1
-200.0,1548.0,-200.0,2153.0,26.7
-200.0,1300.0,-200.0,1823.0,14.2
-200.0,1029.0,-200.0,1602.0,8.5
-200.0,1207.0,-200.0,1870.0,14.3
-200.0,1047.0,-200.0,1644.0,9.3
-200.0,923.0,-200.0,1580.0,7.8
-200.0,862.0,-200.0,1551.0,6.7
-200.0,752.0,-200.0,1500.0,5.4
-200.0,791.0,-200.0,1521.0,5.6
-200.0,697.0,-200.0,1448.0,3.5
-200.0,664.0,-200.0,1434.0,3.0
-200.0,891.0,-200.0,1488.0,4.4
-200.0,813.0,-200.0,1423.0,3.5
-200.0,828.0,-200.0,1461.0,4.2
-200.0,1057.0,-200.0,1634.0,8.0
-200.0,1011.0,-200.0,1658.0,9.0
-200.0,932.0,-200.0,1589.0,8.1
-200.0,881.0,-200.0,1603.0,8.6
-200.0,646.0,-200.0,1531.0,7.1
-200.0,536.0,-200.0,1476.0,5.6
-200.0,746.0,-200.0,1642.0,10.0
-200.0,833.0,-200.0,1678.0,10.5
-200.0,802.0,-200.0,1626.0,10.1
-200.0,838.0,-200.0,1636.0,10.0
-200.0,1051.0,-200.0,1756.0,13.0
-200.0,1041.0,-200.0,1673.0,10.5
-200.0,646.0,-200.0,1493.0,5.2
-200.0,769.0,-200.0,1556.0,6.9
-200.0,785.0,-200.0,1540.0,6.4
-200.0,613.0,-200.0,1470.0,4.7
-200.0,430.0,-200.0,1330.0,2.4
-200.0,485.0,-200.0,1375.0,2.2
-200.0,467.0,-200.0,1294.0,1.1
-200.0,436.0,-200.0,1278.0,0.9
-200.0,682.0,-200.0,1417.0,3.1
-200.0,927.0,-200.0,1541.0,6.2
-200.0,1192.0,-200.0,1795.0,13.2
-200.0,1615.0,-200.0,2299.0,25.8
-200.0,1505.0,-200.0,1972.0,18.2
3.1,1451.0,124.0,1836.0,14.3
3.0,1409.0,121.0,1853.0,13.7
3.2,1434.0,114.0,1942.0,15.7
3.1,1457.0,114.0,1915.0,15.4
2.5,1325.0,106.0,1793.0,12.6
2.1,1120.0,89.0,1705.0,9.8
2.0,931.0,82.0,1662.0,9.6
3.2,1212.0,111.0,1877.0,16.3
4.1,1353.0,132.0,2011.0,19.8
3.9,1359.0,121.0,1957.0,18.0
3.1,1273.0,116.0,1796.0,13.6
2.0,1079.0,100.0,1622.0,8.7
1.7,973.0,89.0,1589.0,7.7
1.6,951.0,92.0,1554.0,7.3
1.0,714.0,71.0,1428.0,4.1
0.8,579.0,51.0,1382.0,2.7
0.5,542.0,39.0,1336.0,1.5
0.5,562.0,-200.0,1370.0,1.9
0.5,526.0,35.0,1360.0,1.8
0.8,659.0,64.0,1435.0,3.4
1.7,1012.0,94.0,1641.0,8.5
4.5,1564.0,134.0,2198.0,24.1
6.2,1806.0,129.0,2560.0,33.7
4.4,1604.0,125.0,2096.0,22.0
